HOUSEID,WTHHFIN,WTHHFIN5D,WTHHFIN2D,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,FLAG100,HHFAMINC,HHFAMINC_IMP,HH_RACE,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSACAT,MSASIZE,TRAVDAY,URBAN,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,TDAYDATE,WRKCOUNT,STRATUMID
9000013868,6835.78021,0,26666.47487,1,3,3,1,2,1,2,0,2,21,1,6,6,1,1,0,2,1,1,5,1,1,4,1,0,0,1,1,202202,1,1023
9000013889,10918.82209,15284.21034,0,3,1,1,1,2,1,2,2,8,21,1,11,11,1,5,2,1,6,1,5,4,1,4,1,2,0,5,1,202202,2,1023
9000013896,17096.5803,21868.06904,0,2,1,1,1,2,1,2,2,6,21,1,11,11,3,4,3,1,4,1,5,2,4,6,2,1,1,3,2,202201,2,1024
9000013899,6243.24759,7777.729032,0,1,2,1,2,2,1,2,1,3,23,1,2,2,1,1,1,2,1,3,3,4,1,2,1,0,0,1,1,202202,0,1023
9000013901,8405.448737,11358.11117,0,3,2,3,1,2,1,1,1,6,21,1,6,6,1,3,1,1,10,1,5,4,1,4,1,0,0,3,1,202202,0,1023
9000013904,26550.93428,32476.66499,0,1,3,3,1,2,1,2,0,0,21,1,4,4,3,1,0,2,1,1,5,4,1,4,1,0,0,1,1,202201,1,1023
9000013906,15362.82581,19930.5016,0,1,2,3,1,2,1,2,0,2,21,1,8,8,3,1,0,2,1,1,5,6,1,4,1,0,0,1,1,202202,1,1023
9000013922,3673.33293,4492.042835,0,1,2,1,2,2,1,2,1,2,24,1,6,6,1,1,1,2,9,4,6,5,4,6,2,0,0,1,2,202202,0,1024
9000013936,13667.26243,17138.90605,0,1,2,2,2,2,1,2,1,3,23,1,6,6,1,1,2,2,1,3,1,2,4,6,2,0,0,1,2,202201,1,1024
9000013938,7067.18322,8824.03508,0,3,1,1,2,2,1,2,3,0,23,1,6,6,1,3,2,1,10,3,1,2,2,6,1,0,0,3,2,202202,0,1024
9000013949,15614.32257,0,62096.97797,2,1,4,2,2,1,2,1,0,23,1,6,6,1,2,1,1,10,3,1,1,4,6,2,0,0,2,2,202202,1,1024
9000013953,5461.982213,6718.470991,0,1,3,3,2,2,1,2,1,2,24,1,4,4,1,2,1,1,5,4,6,3,2,6,1,1,0,2,1,202202,1,1024
9000013970,5903.527865,6780.623538,0,1,1,1,2,2,1,2,1,0,23,1,5,5,1,1,1,2,1,3,1,2,2,6,1,0,0,1,1,202202,1,1024
9000013982,7105.847115,0,32188.16644,1,1,1,2,2,1,2,1,2,23,1,7,7,1,2,2,1,3,3,1,1,2,6,1,0,1,1,1,202201,1,1024
9000013983,19839.93106,27142.72234,0,3,1,1,2,2,1,2,3,0,23,1,4,4,1,4,2,1,6,3,1,2,4,6,2,1,0,4,2,202202,1,1024
9000013986,4397.389941,0,16799.80973,2,3,3,2,2,1,2,2,6,23,1,3,3,1,5,2,1,4,3,1,1,2,6,1,1,2,3,1,202202,2,1024
9000013987,4574.733753,5639.980114,0,2,2,1,2,2,1,2,2,2,23,1,6,6,1,2,2,1,10,3,1,3,4,6,2,0,0,2,2,202201,0,1024
9000014012,21593.01002,25628.79977,0,2,3,3,2,2,1,2,2,0,24,1,1,1,1,4,1,1,6,4,6,3,4,6,2,2,0,4,1,202202,0,1024
9000014013,21168.08797,0,93094.4957,2,1,1,2,2,1,2,2,0,23,1,7,7,1,4,3,1,4,3,1,1,4,6,2,0,2,2,2,202201,1,1024
9000014017,12508.92519,16767.08751,0,2,3,4,2,2,1,2,2,2,23,1,3,3,1,3,1,1,6,3,1,4,4,6,2,1,0,3,2,202202,2,1024
9000014027,3331.499835,0,15684.57838,1,2,4,2,2,1,2,1,0,23,1,3,3,1,1,2,2,9,3,1,1,4,6,2,0,0,1,2,202201,0,1024
9000014029,47861.33017,57293.43472,0,2,1,2,2,2,1,1,1,0,23,1,5,5,4,6,1,1,4,3,1,3,2,6,1,3,1,5,1,202202,1,1024
9000014037,27289.63431,0,128682.8605,1,1,1,2,2,1,2,1,5,24,1,5,5,1,2,2,1,7,4,6,7,4,6,2,1,0,2,2,202203,1,1024
9000014050,2667.355103,3303.080393,0,2,1,1,2,2,1,2,2,8,23,1,7,7,1,2,3,1,2,3,1,6,4,6,2,0,0,2,2,202202,2,1024
9000014066,37228.33304,42936.66816,0,1,3,2,2,2,1,1,1,1,23,1,1,1,1,6,1,1,3,3,1,3,2,6,1,4,1,5,1,202202,0,1024
9000014086,7160.917535,9728.966646,0,1,2,3,2,3,2,2,1,4,33,1,5,5,1,1,1,2,9,3,3,3,1,2,1,0,0,1,1,202202,1,1025
9000014090,24542.36202,0,84404.43799,2,3,3,1,3,2,2,2,3,31,1,8,8,1,2,1,1,2,1,4,1,1,4,1,0,0,2,1,202201,2,1025
9000014092,10522.2124,15184.58974,0,2,3,2,2,3,2,2,2,15,32,1,7,7,1,2,2,1,2,2,4,3,1,5,1,0,0,2,1,202202,2,1025
9000014119,13787.13158,20172.57838,0,2,1,1,2,3,2,2,2,5,33,1,8,8,1,2,2,1,2,3,3,4,1,3,1,0,0,2,1,202202,2,1025
9000014136,18875.89761,26618.70177,0,2,2,1,1,3,2,2,2,6,31,1,6,6,2,3,2,1,8,1,4,2,1,4,1,1,0,3,1,202202,2,1025
9000014137,9403.114489,12497.12483,0,2,2,1,2,3,2,2,2,4,33,1,6,6,1,2,2,1,10,3,1,6,4,6,2,0,0,2,2,202201,2,1026
9000014147,7270.603135,10109.27079,0,2,1,1,2,3,2,2,2,4,33,1,8,8,1,2,2,1,2,3,2,2,1,2,1,0,0,2,1,202201,2,1025
9000014155,5028.946091,0,17369.32743,2,1,1,2,3,2,2,2,2,32,1,8,8,1,2,1,1,2,2,4,1,1,5,1,0,0,2,1,202201,2,1025
9000014159,62631.62551,87454.92775,0,1,1,1,2,3,2,2,1,0,33,1,1,1,1,1,1,2,9,3,3,5,1,3,1,0,0,1,1,202203,0,1025
9000014160,7094.236361,9111.246763,0,1,3,3,2,3,2,2,1,2,33,1,3,3,1,1,1,2,1,3,3,6,1,3,1,0,0,1,1,202202,1,1025
9000014175,6021.569799,7236.786011,0,1,1,1,2,3,2,2,1,2,32,1,5,5,1,1,1,2,1,2,5,5,1,5,1,0,0,1,1,202202,1,1025
9000014177,9458.641248,0,33809.21166,2,1,1,2,3,2,2,2,10,33,1,8,8,1,4,2,1,6,3,3,1,1,2,1,2,0,4,1,202201,2,1025
9000014183,3532.679265,4722.959476,0,1,1,1,2,3,2,2,1,0,33,1,3,3,1,1,1,2,9,3,2,2,1,2,1,0,0,1,1,202201,0,1025
9000014188,24395.34188,35891.90967,0,2,1,1,2,3,2,2,2,2,33,1,10,10,1,2,2,1,2,3,1,6,1,1,1,0,0,2,1,202201,2,1025
9000014197,12399.00724,16328.68408,0,1,3,3,2,3,2,2,1,0,32,1,5,5,2,1,1,2,9,2,5,4,1,5,1,0,0,1,1,202202,0,1025
9000014198,7446.497405,9962.514206,0,2,1,1,2,3,2,2,2,2,32,1,7,7,1,2,2,1,10,2,4,6,1,5,1,0,0,2,1,202201,1,1025
9000014202,28477.33953,37452.15834,0,3,3,1,2,3,2,2,2,1,33,1,5,5,2,5,2,1,3,3,1,5,1,1,1,1,1,4,1,202202,1,1025
9000014213,11207.97156,14090.18535,0,2,3,4,2,3,2,2,2,0,33,1,4,4,1,2,2,1,2,3,3,2,4,6,2,0,0,2,2,202201,1,1026
9000014214,27992.13755,41607.42142,0,2,1,1,2,3,2,2,2,4,32,1,9,9,1,3,2,1,6,2,4,5,1,5,1,1,0,3,1,202201,2,1025
9000014218,24838.8989,0,124416.201,1,4,5,2,3,2,2,1,0,33,1,1,1,97,1,17,2,1,3,1,1,1,1,1,0,0,1,1,202202,0,1025
9000014220,6803.770567,8962.906846,0,2,1,1,2,3,2,2,2,2,33,1,8,8,1,2,3,1,2,3,2,3,4,6,2,0,0,2,2,202201,2,1026
9000014228,4954.428059,6304.629555,0,1,1,2,2,3,2,2,1,4,32,1,7,7,1,1,1,2,9,2,4,6,1,5,1,0,0,1,1,202202,0,1025
9000014236,18236.98554,0,65298.15943,2,1,1,2,3,2,2,2,0,33,2,7,7,1,4,2,1,6,3,1,7,2,6,1,2,0,3,1,202202,2,1025
9000014259,4253.87865,0,16059.16123,2,1,1,2,3,2,2,2,4,33,1,3,3,1,2,2,1,2,3,1,1,4,6,2,0,0,2,1,202202,1,1025
9000014268,5634.755018,8068.675001,0,3,1,1,2,3,2,2,3,6,32,1,11,11,1,5,3,1,6,2,4,2,1,5,1,2,0,5,1,202201,3,1025
9000014271,9284.749179,11240.7538,0,2,2,1,2,3,2,2,2,4,33,1,5,5,1,2,2,1,10,3,2,5,1,2,1,0,0,2,1,202201,0,1025
9000014277,8699.731086,10570.31814,0,1,3,3,2,3,2,2,1,0,33,1,3,3,1,1,1,2,1,3,1,2,4,6,2,0,0,1,2,202201,0,1026
9000014280,5933.745169,0,21244.68518,2,1,1,2,3,2,2,2,2,32,1,6,6,1,2,2,1,10,2,4,1,1,5,1,0,0,2,1,202201,0,1025
9000014285,30057.30685,43327.97603,0,2,2,1,2,3,2,2,2,8,32,1,9,9,1,2,4,1,10,2,5,5,1,5,1,0,0,2,1,202201,1,1025
9000014287,17857.1592,24416.37505,0,2,1,1,2,3,2,2,2,3,32,1,7,7,1,2,2,1,2,2,5,5,1,5,1,0,0,2,1,202201,2,1025
9000014309,5001.648115,6452.007729,0,3,1,1,1,3,2,2,2,2,31,1,5,5,1,3,2,1,10,1,4,2,1,4,1,0,0,3,1,202202,1,1025
9000014324,3008.30357,3829.666544,0,2,2,2,2,3,2,2,2,2,32,1,7,7,1,2,1,1,10,2,4,2,1,5,1,0,0,2,1,202201,0,1025
9000014334,3948.974899,5514.370247,0,2,1,1,1,3,2,2,2,4,31,1,8,8,1,2,2,1,2,1,4,3,1,4,1,0,0,2,1,202201,1,1025
9000014346,4090.023757,0,11390.9855,3,1,1,2,3,2,2,3,10,33,1,9,9,1,3,3,1,8,3,3,1,1,3,1,0,0,3,1,202202,3,1025
9000014347,6160.292429,0,22226.12585,2,1,1,2,3,2,2,1,6,32,1,7,7,1,2,2,1,10,2,4,1,1,1,1,0,0,2,1,202202,0,1025
9000014348,9073.537195,12746.62866,0,1,2,1,2,3,2,2,1,0,33,1,5,5,1,1,1,2,1,3,3,4,1,3,1,0,0,1,1,202202,0,1025
9000014349,14321.11838,0,51484.12786,1,1,1,2,3,2,2,1,2,33,1,6,6,1,1,3,2,1,3,3,7,1,2,1,0,0,1,1,202202,1,1025
9000014356,4444.861184,5190.163561,0,2,3,1,2,3,2,2,2,7,33,1,3,3,1,2,2,1,10,3,3,2,4,6,2,0,0,2,2,202201,1,1026
9000014360,20298.17283,26944.35915,0,2,2,1,2,3,2,2,2,4,33,1,5,5,1,2,2,1,10,3,3,4,1,3,1,0,0,2,1,202202,0,1025
9000014364,3601.370877,5019.080251,0,2,1,1,2,3,2,2,2,4,32,1,9,9,1,4,2,1,4,2,5,2,1,5,1,1,1,3,1,202201,1,1025
9000014371,18611.85346,23548.32016,0,1,2,1,2,3,2,2,1,0,33,1,7,7,1,1,2,2,9,3,3,5,4,6,2,0,0,1,2,202202,0,1026
9000014388,15132.04389,22851.09159,0,2,1,1,2,3,2,2,2,4,32,1,11,11,1,3,2,1,4,2,4,6,1,3,1,0,1,2,1,202201,2,1025
9000014395,3173.881643,4035.926802,0,2,2,1,2,3,2,2,2,4,33,1,6,6,1,2,3,1,10,3,2,2,4,6,2,0,0,2,2,202201,1,1026
9000014417,4855.406152,7051.291263,0,2,2,1,2,3,2,2,2,0,33,1,7,7,1,2,2,1,10,3,3,3,1,5,1,0,0,2,1,202202,0,1025
9000014422,22295.83288,0,100430.5339,3,1,1,2,3,2,2,3,14,32,1,9,9,1,4,3,1,6,2,4,7,1,3,1,1,0,4,2,202202,3,1026
9000014425,6186.42,8850.253546,0,2,2,1,2,3,2,2,2,0,32,1,11,11,1,2,2,1,10,2,4,6,1,5,1,0,0,2,1,202202,0,1025
9000014436,10064.63953,0,43309.52688,1,3,3,2,3,2,2,1,2,33,1,5,5,1,1,1,2,1,3,2,7,1,2,1,0,0,1,1,202202,1,1025
